Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://unsplash.com/photos/water-falls-under-blue-sky-and-white-clouds-during-daytime-IzjogSsUdMk,IguaĂ§u Falls “ massive waterfalls on the Brazilâ“,Brazil,Sunny,Morning,Summer,Exploring,Adventure
https://unsplash.com/photos/reflection-on-trees-on-clear-body-of-water-during-sunset-w5pqeNrxKU0,"Pantanal Wetlands ""Vast wetland with rivers, lakes, and diverse wildlife""",Brazil,Sunny,Morning,Spring,Sightseeing,Excitement
https://www.pexels.com/photo/view-of-a-mountain-under-the-blue-sky-13395180/,"Serra dos Órgăos National Park "" Mountainous park with jagged rock formations, rivers""",Brazil,Sunny,Morning,Summer,Walking,Adventure
https://unsplash.com/photos/brown-and-white-concrete-buildings-under-white-clouds-during-daytime-IA0-dP_hnbI,"Salvador “ colorful historic streets of Pelourinho""",Brazil,Sunny,Morning,Summer,Sightseeing,Happiness
https://www.pexels.com/photo/aerial-view-of-hunza-valley-in-autumn-35061821/,"Soca River Valley ""Stunning turquoise river flowing through mountains and forests""",Slovenia,Sunny,Afternoon,Winter,Hiking,Adventure
https://www.pexels.com/photo/rocky-mountain-2683750/,"""Iconic peaks, glaciers, rivers""",Chile,Cloudy,Evening,Winter,photography,Adventure
https://unsplash.com/photos/a-train-traveling-through-a-snow-covered-mountain-range-w5AhRsMecbk,"Mountains ""Matterhorn and alpine peaks""",Switzerland,Snowy,Afternoon,Winter,Relaxing,Happiness
https://unsplash.com/photos/a-path-through-a-forest-with-lots-of-trees-8gXWOYCRQ_A,"""Thick pine forests, rolling hills, small villages""",Germany,Cloudy,Afternoon,Spring,walking,Nostalgia
https://unsplash.com/photos/famous-tourist-attraction-of-china-zhangjiajie-stone-pillars-cliff-mountains-in-fog-clouds-at-wulingyuan-hunan-china-q0vJQ8T0rZU,"""Pillar-like mountains, inspiration for “Avatar” movie""",China,Cloudy,Morning,Winter,Hiking,Curiosity
https://www.pexels.com/photo/igloos-at-dawn-15825092/,"""Blue ice formations inside a glacier""",Iceland,Snowy,Afternoon,Winter,Hiking,Curiosity
