Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood
https://media.istockphoto.com/id/508662108/photo/parliament-building-in-budapest-hungary.jpg?s=1024x1024&w=is&k=20&c=ywhMKOahdJg0LFQ4ON1DFl9yexk5k-GiSmZ7Rc1Fa7Y=,"beautiful sunset view of the Hungarian Parliament Building on the Danube River, I picked this location because it is one of Europe's most famous landmarks and has beautiful architecture.",Hungary,Sunny,Evening,Fall,Sightseeing,Happiness
https://media.istockphoto.com/id/494226648/photo/uzungol.jpg?s=1024x1024&w=is&k=20&c=7JurKGPFbRlQaLB7LJWLkp9V_EAV6F-F0WzRbogWdpE=,"A peaceful view of Uzung√∂l with its famous mosque, surrounded by lush green mountains and a calm reflective lake. I chose this place because i went there and saw it's natural beauty and relaxing atmosphere.",Turkey,Cloudy,Morning,Spring,Relaxing,Nostalgia
https://www.travelure.in/wp-content/uploads/2015/09/Jumping-into-the-Mediterranean-2_1.jpg,A  mid-air shot shows a cliff diver jumping into the sea in the historic coastal city of Akko. I chose this location because it offers adventure along with the beauty of Palestinian seaside heritage and it's a place we're not allowed to enter and enjoy despite it's our homeland,Palestine,Sunny,Afternoon,Summer,Cliff jumping,Melancholy
https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/06/0f/8f.jpg,"A beautiful ancient temple in Khajuraho, India, known for its detailed stone carvings and historic architecture. I chose this place because it reflects Indiaís rich history and stunning traditional design.",India,Sunny,Afternoon,Summer,Cultural exploration,Curiosity
"https://media.cntravellerme.com/photos/660aa338708d3479e32b2e21/16:9/w_1920,c_limit/842452948","A stunning view of a turquoise bay in Phuket filled with boats and surrounded by dramatic cliffs. I chose this place because I dream of visiting it one day , its crystal-clear water and tropical beauty make it one of my top travel wishes.",Thailand,Sunny,Afternoon,Summer,Boating,Happiness
https://www.aljazeera.net/wp-content/uploads/2021/12/4-95.jpg?resize=770%2C513&quality=80,A bright tent under the Northern Lights in a frozen field surrounded by mountains. I chose this place because I have always wanted to go there and see the aurora while camping in nature.,Norway,Snowy,Night,Winter,Camping,Adventure
https://www.climbing-kilimanjaro.com/wp-content/uploads/2023/02/Mount-Everest-height.jpg,A view of the snow-capped Himalayan peaks with Mount Everest soaring above the clouds. I picked this site because it is one of the most beautiful and well-known natural marvels on Earth.,Nepal,Snowy,Morning,Winter,Mountain viewing,Adventure
https://www.sunsiyam.com/media/qnfnzgmq/ssiv_general_04.jpg?width=782&height=521&mode=max,A beautiful view of an island in the Maldives with over-water villas surrounded by clear blue water. I chose this destination because it looks very relaxing.,Maldives,Sunny,Evening,Summer,Resort stay,Happiness
https://www.atlys.com/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FW3Iz4WACAy2J0qT0cCT3xA%2Fdidi%2Farticles%2Fg0jm1xnk0xt0qedwcbdn30jg%2Fpublic&w=1920&q=75,"A street in Chefchaouen, the well-known Blue City of Morocco, with someone walking through its colorful streets. I picked this place because it has a special beauty and lovely blue buildings.",Morroco,Sunny,Afternoon,Summer,Exploring,Curiosity
https://www.planetware.com/img/gallery/switzerlands-top-10-tourist-attractions-you-cant-miss/intro-1757789849.webp,"A beautiful view from the Lauterbrunnen Valley in Switzerland, with some lovely houses, green fields, and a big waterfall coming down from the top of the hill. I picked this place because I love green things and I wish to stay in a calm place that is that much peaceful.",Switzerland,Sunny,Morning,Spring,Nature exploration,Happiness
