Image URL,,,,,,,,,,,,,,,,,,,,Description,,,,,,,Country,,Weather,Time of Day,,Season,Activity,,Mood,,,,,,
https://www.rwongphoto.com/images/xl/RW8916.jpg,,,,,,,,,,,,,,,,,,,,Classic view of a gondola sailing through the canals of Venice.,,,,,,,Italy,,Cloudy,Evening,,Fall,Sightseeing,,Romance,,,,,,
https://wallup.net/wp-content/uploads/2019/09/197411-times-square-new-york-usa-city-cities-neon-lights-traffic-night-yy-1.jpg,,,,,,,,,,,,,,,,,,,,A lively New York street capturing the energy of the city.,,,,,,,USA,,Clear,Evening,,Not Clear,City Exploration,,Excitement,,,,,,
https://cdn-imgix.headout.com/mircobrands-content/image/71e15c4888f28f40a0a4e05bc5cde87b-osama-elsayed-vqRMXgVtGXM-unsplash.jpg,,,,,,,,,,,,,,,,,,,,A stunning shot of the Great Pyramids of Giza under bright sunlight.,,,,,,,Egypt,,Sunny,Afternoon,,Summer,Historical Sightseeing,,Adventure,,,,,,
https://www.islamicity.org/wp-content/plugins/blueprint-timthumb/timthumb.php?h=675&q=100&src=https%3A%2F%2Fmedia.islamicity.org%2Fwp-content%2Fuploads%2F2017%2F07%2FiStock-652440104.jpg,,,,,,,,,,,,,,,,,,,,Al-Aqsa Mosque with its iconic golden dome in Jerusalem.,,,,,,,Palestine,,Sunny,Morning,,Spring,Cultural Visit,,Nostalgia,,,,,,
https://st.depositphotos.com/68108184/61568/i/1600/depositphotos_615684920-stock-photo-pilgrims-all-world-gather-outer.jpg,,,,,,,,,,,,,,,,,,,,The Prophets Mosque in Medina illuminated beautifully.,,,,,,,Saudi Arabia,,Not Clear,Evening,,Not Clear,Religious Visit,,Happiness,,,,,,
https://www.aljazeera.com/wp-content/uploads/2023/06/GettyImages-1258962880-1687691187.jpg,,,,,,,,,,,,,,,,,,,,The Kaaba surrounded by pilgrims performing Tawaf.,,,,,,,Saudi Arabia,,Clear,Morning,,Not Clear,Religious Visit,,Happiness,,,,,,
https://us.images.westend61.de/0001372861pw/spain-madrid-aerial-view-of-santiago-bernabeu-stadium-DAMF00446.jpg,,,,,,,,,,,,,,,,,,,,"Santiago Bernabu Stadium, home to Real Madrid.",,,,,,,Spain,,Clear,Afternoon,,Spring, Sports Event ,,Excitement,,,,,,
https://www.emirates247.com/polopoly_fs/1.724822.1696478734!/image/image.jpg,,,,,,,,,,,,,,,,,,,,Burj Khalifa standing tall above Dubais skyline.,,,,,,,UAE,,Sunny,Evening,,Summer,Sightseeing,,Excitement,,,,,,
https://evanitravel.com/wp-content/uploads/2023/01/Maldives-Feature-Image.jpg,,,,,,,,,,,,,,,,,,,,Crystal-clear waters and white beaches of Maldives.,,,,,,,Maldives,,Sunny,Afternoon,,Summer,Relaxing,,Romance,,,,,,
https://www.melbtravel.com/wp-content/uploads/2017/08/Cover.jpg,,,,,,,,,,,,,,,,,,,,Green mountains and peaceful landscapes in Switzerland.,,,,,,,Switzerland,,Clear,Morning,,Spring,Nature Exploration,,Adventure,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
