Image URL:,Description:,Country:,Weather:,Time of Day:,Season:,Activity:,Mood/Emotion:
https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/rain-clouds-over-edinburgh-castle-amanda-finan.jpg,"A dramatic view of the stone castle perched on its rocky hill under dark storm clouds, giving the scene a powerful, moody atmosphere.",Scotland,Rainy,Afternoon,Fall,Sightseeing,Melancholy 
https://images.squarespace-cdn.com/content/v1/63ff291c8cf8fd1dab8e45bf/1729502568200-CB4WKV7PW2SZ1AODWR6H/scenic-hallstatt-photos.jpg?format=1500w,"A peaceful lakeside village surrounded by misty mountains, colorful alpine houses, and calm reflective water creating a serene, storybook view.",Austria,Cloudy,Morning,Fall,Sightseeing,Nostalgia
https://static.tekce.com/files/upload/images/trabzon-uzungol(1).jpg,"A vibrant green valley with a peaceful lakeside village, surrounded by steep forested mountains and traditional red-roofed houses.",Turkey,Sunny,Afternoon,Spring,Relaxing,Happiness
https://www.agoda.com/wp-content/uploads/2024/01/Featured-image-Bulguksa-Buddhist-temple-Gyeongju-South-Korea.jpg,"A traditional Korean temple complex surrounded by colorful autumn trees, glowing softly under a warm sunset sky.",South Korea,Clear,Evening,Fall,Exploring,Adventure
https://blog.dookinternational.com/images/post-media/5FKbr1735213634.jpg,"A brightly lit winter cityscape reflecting on a frozen lake, surrounded by snowy mountains and glowing evening lights.",Switzerland ,Snowy,Evening,Winter,Stargazing,Romance
https://www.greecetravel.com/crete/ag-nikolaos-crete.jpg,"A colorful coastal town glowing under a vibrant sunset sky, with calm waters reflecting the lights of seaside buildings and boats.",Greece,Clear,Sunset,Summer,Exploring,Excitement 
https://worldlyadventurer.com/wp-content/uploads/2022/11/Chile-Patagonia-Torres-del-Paine-National-Park-Los-Cuernos3.jpg,A dramatic mountain landscape with sharp snow-capped peaks rising over a bright blue lake and rugged winding trails.,Chile,Snowy,Morning,Spring,Hiking,Adventure
https://silversea-discover.imgix.net/2023/01/shutterstock_270311063.jpg?auto=compress%2Cformat&fit=scale&h=684&ixlib=php-3.3.1&w=1024&wpsize=large,"A giant stone hand sculpture rising from an endless desert landscape under a wide, textured blue sky.",Chile,Windy,Morning,Summer,Exploring,Curiosity
https://assets.plaece.nl/thumb/i5K-EyqQrsIHg5Q1QmYFa0YiVDdhecl3uwnANXpZ3aE/resizing_type:fit/width:960/height:0/gravity:sm/enlarge:0/aHR0cHM6Ly9hc3NldHMucGxhZWNlLm5sL2t1bWEtbWFhc3RyaWNodC12aXNpdC91cGxvYWRzL21lZGlhLzY4ZjhlZjI1MzVhMTQvdC1iYXNzaW4tbWFnaXNjaC1tYWFzdHJpY2h0LWNlbnRydW1tYW5hZ2VtZW50LWMtZm9jdXNzMjIuanBn.jpg,A charming riverside city decorated with glowing festive lights reflecting beautifully on the calm water under a dark night sky.,Netherlands ,Windy,Night,Winter,Strolling,Romance
https://www.qantas.com/content/travelinsider/en/explore/africa/morocco/why-you-should-visit-the-blue-city-chefchaouen-in-morocco/jcr:content/parsysTop/hero.img.full.medium.jpg/1536047195460.jpg,"A hillside town filled with blue-painted houses glowing under soft evening light, surrounded by distant mountains and dramatic clouds.",Morocco,Cloudy,Morning,Spring,Relaxing,Nostalgia